# Copyright (C) 2026, Advanced Micro Devices, Inc. All rights reserved.
# SPDX-License-Identifier: MIT
key,family,device,problem_type,reason_to_close,techniques,route_wns_before,route_wns_after,max_cong,n_tcl,data_dir
TSR-976763,versal,xcvp1502,QOR,Workaround Provided,phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|congestion|block_inference|clock_skew_route,,,,5,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976763/
TSR-976770,versal,,QOR,Explanation provided,USER_CLUSTER|SLR_assignment|pblock_floorplan|phys_opt|ExtraNetDelay|replication|high_fanout|congestion|block_inference|clock_skew_route|noc_qos|false_path_groups,,,,4,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976770/
TSR-976779,versal,xcvh1522,QOR,Workaround Provided,phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|replication|congestion|block_inference|clock_skew_route|qor_suggestions,-0.076,-0.001,,10,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976779/
TSR-976837,versal,,QOR,Explanation provided,congestion,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976837/
TSR-976907,versal,,QOR,Workaround Provided,ExtraNetDelay|replication|congestion|block_inference,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976907/
TSR-976909,versal,,Debug/Test Assistance,Explanation provided,SLR_assignment|phys_opt|ExtraNetDelay|congestion|block_inference|qor_suggestions,,,,2,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976909/
TSR-976968,versal,,QOR,Explanation provided,,,,,1,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976968/
TSR-977059,versal,,Other,Explanation provided,,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977059/
TSR-977073,versal,,Customer Expectation Mismatch,Workaround Provided,congestion|clock_skew_route,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977073/
TSR-977086,versal,,Debug/Test Assistance,Explanation provided,USER_CROSSING_SLR|SLR_assignment|pblock_floorplan|phys_opt|ExtraNetDelay|congestion|block_inference|clock_skew_route|incremental|qor_suggestions,0.0,0.0,,7,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977086/
TSR-977150,versal,,Debug/Test Assistance,Workaround Provided,phys_opt|ExtraNetDelay|replication|high_fanout|congestion|block_inference,,,,2,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977150/
TSR-977185,versal,,Information Accessibility,Explanation provided,phys_opt|clock_skew_route,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977185/
TSR-977408,unknown,,QOR,Workaround Provided,SLR_assignment|pblock_floorplan|phys_opt|ExtraNetDelay|congestion|block_inference|noc_qos|qor_suggestions,,,,6,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977408/
TSR-977410,versal,XCVP1202,QOR,Workaround Provided,ExtraNetDelay|replication|block_inference,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977410/
TSR-977518,versal,,QOR,Explanation provided,ExtraNetDelay|congestion|incremental,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977518/
